country,2020,2021,2022,2023,2024
SLV,0.000874632,0.000423209,0.000541235,0.000819207,0.000716884
SMR,0.000129575,0.000211604,5.28034e-05,0.000121243,0.000147755
SOM,0.014188468,0.085064963,0.012283395,0.008965399,0.007562849
SPM,0.0,0.0,0.0,0.0,5.47239e-06
SRB,0.005733696,0.007194549,0.002996594,0.003634001,0.005445033
SSD,0.000971813,0.008040967,0.00170291,0.001274686,0.001242234
STP,0.000161969,0.000423209,5.94038e-05,7.20902e-05,2.7362e-05
SUR,0.0005183,0.0,0.000712846,0.001120675,0.000733301
SVK,0.037350009,0.023276482,0.014441735,0.017750572,0.021955247
SVN,0.010722336,0.004232088,0.004263876,0.007297494,0.010589084
SWE,0.16635817,0.091624698,0.062182627,0.067768058,0.069433743
SWZ,0.000388725,0.002327648,0.000844855,0.000792992,0.000886528
SYC,0.004535127,0.021795252,0.003333216,0.003522589,0.003458553
SYR,0.037366206,0.086757798,0.034678646,0.027168172,0.023350708
TCA,0.0,0.0,0.0,6.55365e-06,5.47239e-06
TCD,0.000955616,0.004020483,0.000950462,0.001130505,0.001110896
TGO,0.000485906,0.001269626,0.000290419,0.000409603,0.000311926
THA,8.703167527,67.57903424,8.010503128,7.740592746,6.648198794
TJK,0.005280183,0.008040967,0.004857915,0.004679309,0.005565425
TKL,3.23938e-05,0.0,0.0,0.0,0.0
TKM,0.005847074,0.006136527,0.003359618,0.004482699,0.017008202
TLS,0.004178795,0.00529011,0.015246987,0.008575456,0.008400126
TON,0.000372528,0.0,0.000514833,0.00061932,0.000733301
TTO,0.001862641,0.002962461,0.001663308,0.001739995,0.001346209
TUN,0.014318043,0.016505142,0.021068564,0.033400697,0.022135836
TUR,0.061191818,0.116170807,0.06083614,0.071025224,0.083153036
TUV,0.0,0.0,6.60043e-06,1.31073e-05,4.92516e-05
TWN,1.082923498,0.24567269,0.388877382,1.02925135,1.083884367
TZA,0.009961082,0.045283338,0.007636695,0.008677038,0.007327536
UGA,0.005490743,0.012696263,0.004514692,0.00538055,0.008372764
UKR,0.123954734,0.169283508,0.035853522,0.044987557,0.049798791
URY,0.007774503,0.001904439,0.001861321,0.004482699,0.003447609
USA,0.88201738,0.690888315,0.835191684,0.876026921,0.85394529
UZB,0.066763546,0.041686064,0.041411082,0.052845388,0.055451775
VAT,9.71813e-05,0.001058022,6.60043e-05,1.63841e-05,4.37792e-05
VCT,8.09844e-05,0.0,5.94038e-05,0.000140904,9.85031e-05
VEN,0.005231593,0.007829362,0.003498227,0.004096034,0.00400032
VNM,1.167455023,0.276143722,1.320890736,1.31775958,1.109309112
VUT,0.003660495,0.001904439,0.003300214,0.00463671,0.004487364
WSM,0.000145772,0.0,0.000211214,0.000186779,8.20859e-05
XXX,0.049141339,0.037030767,0.026652526,0.021836775,0.002314823
YEM,0.104129751,0.254136866,0.075898315,0.054392051,0.04376274
ZAF,0.078975994,0.103474544,0.067885396,0.064294622,0.054696584
ZAR,1.61969e-05,0.0,6.60043e-06,1.63841e-05,8.75583e-05
ZMB,0.003871055,0.022853274,0.002831583,0.003178522,0.002314823
ZWE,0.007677322,0.02073723,0.006844643,0.006635575,0.005762432
SUM,,,,,
