country_name,year,Male_Migrants,Female_Migrants,Total_Migrants,continent,Country_Flag
Afghanistan,2020,451,113,564,Asia,🇦🇫
Afghanistan,2021,215,89,304,Asia,🇦🇫
Afghanistan,2022,634,231,865,Asia,🇦🇫
Afghanistan,2023,514,170,684,Asia,🇦🇫
Afghanistan,2024,287,96,383,Asia,🇦🇫
Albania,2020,106,91,197,Europe,🇦🇱
Albania,2021,10,5,15,Europe,🇦🇱
Albania,2022,224,126,350,Europe,🇦🇱
Albania,2023,422,205,627,Europe,🇦🇱
Albania,2024,243,176,419,Europe,🇦🇱
Algeria,2020,1517,575,2092,Africa,🇩🇿
Algeria,2021,103,55,158,Africa,🇩🇿
Algeria,2022,2336,1364,3700,Africa,🇩🇿
Algeria,2023,7103,4711,11814,Africa,🇩🇿
Algeria,2024,4057,2483,6540,Africa,🇩🇿
Andorra,2020,9,6,15,Europe,🇦🇩
Andorra,2021,0,0,0,Europe,🇦🇩
Andorra,2022,17,19,36,Europe,🇦🇩
Andorra,2023,47,41,88,Europe,🇦🇩
Andorra,2024,51,34,85,Europe,🇦🇩
Angola,2020,12,6,18,Africa,🇦🇴
Angola,2021,3,1,4,Africa,🇦🇴
Angola,2022,24,11,35,Africa,🇦🇴
Angola,2023,60,18,78,Africa,🇦🇴
Angola,2024,24,13,37,Africa,🇦🇴
Anguilla,2020,0,0,0,North America,🇦🇮
Anguilla,2021,0,0,0,North America,🇦🇮
Anguilla,2022,1,0,1,North America,🇦🇮
Anguilla,2023,1,0,1,North America,🇦🇮
Anguilla,2024,1,2,3,North America,🇦🇮
Antarctica,2020,0,1,1,,🇦🇶
Antarctica,2021,0,0,0,,🇦🇶
Antarctica,2022,1,1,2,,🇦🇶
Antarctica,2023,1,1,2,,🇦🇶
Antarctica,2024,1,0,1,,🇦🇶
Antigua and Barbuda,2020,30,19,49,North America,🇦🇬
Antigua and Barbuda,2021,1,1,2,North America,🇦🇬
Antigua and Barbuda,2022,89,51,140,North America,🇦🇬
Antigua and Barbuda,2023,186,90,276,North America,🇦🇬
Antigua and Barbuda,2024,83,53,136,North America,🇦🇬
Argentina,2020,1487,1336,2823,South America,🇦🇷
Argentina,2021,59,38,97,South America,🇦🇷
Argentina,2022,1412,1020,2432,South America,🇦🇷
Argentina,2023,3345,2817,6162,South America,🇦🇷
Argentina,2024,2578,2493,5071,South America,🇦🇷
Armenia,2020,77,107,184,Asia,🇦🇲
Armenia,2021,3,5,8,Asia,🇦🇲
Armenia,2022,122,136,258,Asia,🇦🇲
Armenia,2023,460,639,1099,Asia,🇦🇲
Armenia,2024,274,391,665,Asia,🇦🇲
Aruba,2020,0,0,0,North America,🇦🇼
Aruba,2021,0,0,0,North America,🇦🇼
Aruba,2022,0,2,2,North America,🇦🇼
Aruba,2023,0,0,0,North America,🇦🇼
Australia,2020,49523,35625,85148,Oceania,🇦🇺
Australia,2021,1234,666,1900,Oceania,🇦🇺
Australia,2022,105118,74257,179375,Oceania,🇦🇺
Australia,2023,232754,176342,409096,Oceania,🇦🇺
Australia,2024,144192,110216,254408,Oceania,🇦🇺
Austria,2020,2361,1415,3776,Europe,🇦🇹
Austria,2021,180,47,227,Europe,🇦🇹
Austria,2022,4620,2406,7026,Europe,🇦🇹
